,0-unknown,1-extreme left,2-left,3-center left,5-center right,6-right,7-extreme right,mean
trump,2.38347549641,0.737666734353,0.345682587371,0.899886885206,0.296504586773,0.930367728143,0.529517637345,0.874728807943
clinton,0.720949220854,0.711559167766,0.62621034152,0.991944065014,0.39533944903,0.587202566971,0.536495883871,0.652814385004
said,0.4638396192,0.409189180888,0.892259243842,0.509109747439,0.413435973106,0.294596542074,0.382421727911,0.48069314778
people,0.44473012178,0.48904761986,0.508569670425,0.457676991109,0.324345393043,0.534254810085,0.444189573394,0.457544882814
hillary,0.53159147369,0.42761805142,0.231661629233,0.788635597058,0.224118490471,0.298179472991,0.338963143113,0.405823979711
2016,0.436043986589,0.371136975993,0.571914647168,0.331704008214,0.199061764829,0.235279130224,0.254256903109,0.342771059447
election,0.644511231173,0.267389260405,0.244330624581,0.377359896985,0.136419950722,0.322861885975,0.271667973648,0.323505831927
new,0.307489185762,0.309024856792,0.298626318933,0.307664785147,0.328521513983,0.325648610022,0.318235678185,0.313601564118
president,0.408248353977,0.296568305414,0.238901055146,0.294247544365,0.300680707713,0.273497060006,0.222543881771,0.290669558342
just,0.491635251811,0.265682883504,0.166506796011,0.355929581848,0.158692595738,0.258369129467,0.331432164189,0.289749771795
